Pincode,District,StateName,Region
210128,BANDA,Uttar Pradesh,North
210129,BANDA,Uttar Pradesh,North
210201,BANDA,Uttar Pradesh,North
210202,CHITRAKOOT,Uttar Pradesh,North
210203,BANDA,Uttar Pradesh,North
210204,CHITRAKOOT,Uttar Pradesh,North
210205,CHITRAKOOT,Uttar Pradesh,North
210206,CHITRAKOOT,Uttar Pradesh,North
210207,CHITRAKOOT,Uttar Pradesh,North
210208,CHITRAKOOT,Uttar Pradesh,North
210209,CHITRAKOOT,Uttar Pradesh,North
210301,HAMIRPUR,Uttar Pradesh,North
210341,HAMIRPUR,Uttar Pradesh,North
210421,MAHOBA,Uttar Pradesh,North
210422,HAMIRPUR,Uttar Pradesh,North
210423,MAHOBA,Uttar Pradesh,North
210424,MAHOBA,Uttar Pradesh,North
210425,MAHOBA,Uttar Pradesh,North
210426,MAHOBA,Uttar Pradesh,North
210427,MAHOBA,Uttar Pradesh,North
210428,HAMIRPUR,Uttar Pradesh,North
210429,MAHOBA,Uttar Pradesh,North
210430,HAMIRPUR,Uttar Pradesh,North
210431,HAMIRPUR,Uttar Pradesh,North
210432,HAMIRPUR,Uttar Pradesh,North
210433,MAHOBA,Uttar Pradesh,North
210501,HAMIRPUR,Uttar Pradesh,North
210502,HAMIRPUR,Uttar Pradesh,North
210504,MAHOBA,Uttar Pradesh,North
210505,HAMIRPUR,Uttar Pradesh,North
210506,HAMIRPUR,Uttar Pradesh,North
210507,HAMIRPUR,Uttar Pradesh,North
211001,ALLAHABAD,Uttar Pradesh,North
211002,ALLAHABAD,Uttar Pradesh,North
211003,ALLAHABAD,Uttar Pradesh,North
